Date,JPM,V,spread,spread_mean,spread_std,zscore,pair_position,JPM_ret,V_ret,pair_position_lagged,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2021-03-02,132.10279846191406,207.98016357421875,11.39021370072247,11.376856133108513,3.340779104198996,0.0039983390692212425,0.0,-0.003255785786587917,-0.003969816097949552,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0036128009422687346,1.1953354154476945,1.1424574009890447
2021-03-03,134.65663146972656,207.09336853027344,14.704783132440056,11.70762606570786,3.3256162762287307,0.9012335813231558,0.0,0.01933216432616902,-0.0042638443431595174,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.007534159991504752,1.1953354154476945,1.1510648578315748
2021-03-04,132.587158203125,203.8643035888672,15.405360660387387,11.954459745986181,3.4109304384521564,1.0117183497788327,0.0,-0.015368520985665879,-0.015592314540647467,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.015480417763156673,1.1953354154476945,1.1332458929598535
2021-03-05,132.89537048339844,207.63314819335938,12.480472590979318,12.243807876772049,3.17870490733551,0.07445318804558314,0.0,0.0023246012996316345,0.018487025625107956,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.010405813462369795,1.1953354154476945,1.1450382383289905
2021-03-08,134.65663146972656,212.31765747070312,10.223131015500016,12.412363983183795,2.9595745452124156,-0.7397120546347491,0.0,0.01325298977625522,0.022561471123971444,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.01790723045011333,1.1953354154476945,1.1655427019369395
2021-03-09,133.70553588867188,212.40444946289062,9.197580992902019,12.356926960876674,3.0110366941142828,-1.0492552196890441,0.0,-0.007063117283373499,0.00040878367452545916,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.00332716680442402,1.1953354154476945,1.1616647469499162
2021-03-10,136.61158752441406,215.1129913330078,9.780112137254022,12.340003172184606,3.025197532774056,-0.8461897139600023,0.0,0.021734714396282495,0.01275181323633423,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.017243263816308363,1.1953354154476945,1.181695638647679
2021-03-11,135.89828491210938,217.98538208007812,6.602731404640053,12.157384386481704,3.2588913637739694,-1.7044609229959318,1.0,-0.005221391722552204,0.013352939444850609,0.0,0.0,-0.0,-0.0,1.0,0.0005,-0.0005,0.004065773861149202,1.1947377477399708,1.1865001458871265
2021-03-12,137.50982666015625,216.2600555419922,9.694343152641736,12.334218757186978,3.00203006641992,-0.8793634794249192,1.0,0.011858440664568537,-0.007914872647066473,1.0,0.5382568170927516,-0.4617431829072485,0.010037525016155908,0.0,0.0,0.010037525016155908,0.001971784008751032,1.2067299577706565,1.1888396679011675
2021-03-15,136.82296752929688,215.2093963623047,9.908791164346653,12.405653840916191,2.9214076730273555,-0.8546779347581176,1.0,-0.004994982159034267,-0.004858313649528712,1.0,0.5382568170927516,-0.4617431829072485,-0.00044528999026174736,0.0,0.0,-0.00044528999026174736,-0.004926647904281489,1.2061926129995122,1.1829826734427753
2021-03-16,135.18499755859375,216.58775329589844,7.0883987932409696,12.101192082149717,3.14543229161832,-1.593673881414142,1.0,-0.011971454795061343,0.006404724686245977,1.0,0.5382568170927516,-0.4617431829072485,-0.009401055116231323,0.0,0.0,-0.009401055116231323,-0.0027833650544076827,1.1948531297639127,1.179690000809545
2021-03-17,136.5763702392578,214.9684600830078,9.868880870082691,11.899817602291009,3.153366254892057,-0.6440535504106353,1.0,0.01029236014196755,-0.007476383997937153,1.0,0.5382568170927516,-0.4617431829072485,0.008992102354232074,0.0,0.0,0.008992102354232074,0.0014079880720151983,1.2055973714050243,1.1813509902593604
2021-03-18,138.83078002929688,212.69361877441406,14.074761469376668,11.963233285061847,3.1851516325153115,0.6629286225369901,0.0,0.016506587384697236,-0.010582209630730643,1.0,0.5382568170927516,-0.4617431829072485,0.013771046343835806,1.0,0.0005,0.013271046343835805,0.002962188876983296,1.2215969099929471,1.1848503750225199
2021-03-19,136.62042236328125,199.43035888671875,23.242280760588997,12.18702143543364,3.7884119516776744,2.918177713028174,-1.0,-0.015921236382516746,-0.062358522856120646,0.0,0.0,-0.0,0.0,1.0,0.0005,-0.0005,-0.039139879619318696,1.2209861115379508,1.1384754739772338
2021-03-22,132.94821166992188,200.49069213867188,18.66046402945811,12.268940200570608,3.914094684745551,1.6329507443438371,-1.0,-0.02687892944434589,0.005316809626539465,-1.0,-0.5382568170927516,0.4617431829072485,0.016922767609444493,0.0,0.0,0.016922767609444493,-0.010781059908903212,1.2416485757578668,1.1262015016874682
2021-03-23,131.6184844970703,200.63525390625,17.2067246591415,12.382025250473973,4.026537855432607,1.1982252699196756,-1.0,-0.010001843245195041,0.0007210397950949687,-1.0,-0.5382568170927516,0.4617431829072485,0.005716495520209261,0.0,0.0,0.005716495520209261,-0.004640401725050036,1.2487464542788609,1.1209754742962836
2021-03-24,132.63998413085938,200.55812072753906,18.294392929006747,12.735450760170647,4.225040449233712,1.315713360766597,-1.0,0.007761065155037494,-0.0003844447932713768,-1.0,-0.5382568170927516,0.4617431829072485,-0.004354960990097189,0.0,0.0,-0.004354960990097189,0.0036883101808830587,1.2433082121839543,1.125109979550651
2021-03-25,134.33956909179688,200.46173095703125,20.076665777994364,13.034740717839162,4.527304097029623,1.5554345167083936,-1.0,0.012813519031039222,-0.0004806076670351711,-1.0,-0.5382568170927516,0.4617431829072485,-0.0071188812833110175,0.0,0.0,-0.0071188812833110175,0.0061664556820020255,1.2344572486228509,1.1320479203769283
2021-03-26,136.5763702392578,205.8209991455078,17.716022967816954,13.336336453779936,4.632290334005916,0.9454689145638137,-1.0,0.01665035225721545,0.0267346199341425,-1.0,-0.5382568170927516,0.4617431829072485,0.003382362892764631,0.0,0.0,0.003382362892764631,0.021692486095678976,1.2386326310132973,1.1566048541493472
